%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.UTM_Easting,field.UTM_Northing,field.Zone,field.Letter
1698454861295495747,1,1698454861294045925,GPS1_Frame,42.26716833333333,-71.01940833333333,12.3,333455.45614201284,4681414.762448893,19,T
1698454862300308700,2,1698454862296097278,GPS1_Frame,42.267165000000006,-71.019405,12.3,333455.7222816135,4681414.385793328,19,T
1698454863298012291,3,1698454863295277833,GPS1_Frame,42.267155,-71.01939166666666,12.3,333456.7956181825,4681413.2493069405,19,T
1698454864296962421,4,1698454864295142173,GPS1_Frame,42.26713500000001,-71.01936833333333,12.2,333458.6673747008,4681410.982854359,19,T
1698454865297774664,5,1698454865295348882,GPS1_Frame,42.26710833333333,-71.019335,12.3,333461.3463305093,4681407.9565720465,19,T
1698454866295123969,6,1698454866294156551,GPS1_Frame,42.26707833333333,-71.01929666666666,12.3,333464.428888087,4681404.550375902,19,T
1698454867325757978,7,1698454867324791193,GPS1_Frame,42.267046666666666,-71.019255,12.4,333467.78197812696,4681400.952594025,19,T
1698454868299949933,8,1698454868296603918,GPS1_Frame,42.26701166666667,-71.01921,12.4,333471.4012127932,4681396.978158943,19,T
1698454869296852792,9,1698454869295160055,GPS1_Frame,42.26697666666667,-71.01916166666666,12.5,333475.29536998784,4681392.997206861,19,T
1698454870306420316,10,1698454870303947687,GPS1_Frame,42.266940000000005,-71.01911333333334,12.5,333479.1851433364,4681388.8311892105,19,T
1698454871302422203,11,1698454871298992395,GPS1_Frame,42.266903333333325,-71.019065,12.6,333483.0749213664,4681384.66517387,19,T
1698454872298044242,12,1698454872295666217,GPS1_Frame,42.266870000000004,-71.01901833333334,12.7,333486.83602086373,4681380.872555855,19,T
1698454873328085189,13,1698454873325934648,GPS1_Frame,42.26683333333334,-71.01897000000001,12.8,333490.7258079649,4681376.706545057,19,T
1698454874294688400,14,1698454874293491601,GPS1_Frame,42.266795,-71.01891833333335,12.8,333494.88613101863,4681372.348950484,19,T
1698454875299920792,15,1698454875298049211,GPS1_Frame,42.266754999999996,-71.01886333333333,12.8,333499.3169908675,4681367.7997726435,19,T
1698454876300028055,16,1698454876297075510,GPS1_Frame,42.266713333333335,-71.01881,12.7,333503.6060091426,4681363.068788858,19,T
1698454877298578267,17,1698454877295856714,GPS1_Frame,42.266675,-71.01875666666666,12.7,333507.9038083225,4681358.7079436155,19,T
1698454878296049447,18,1698454878294997930,GPS1_Frame,42.26663666666666,-71.01870833333334,12.6,333511.7892331473,4681354.356877464,19,T
1698454879298586756,19,1698454879296387672,GPS1_Frame,42.26660166666667,-71.01866333333334,12.6,333515.4085174806,4681350.382466727,19,T
1698454880297225582,20,1698454880294997453,GPS1_Frame,42.26656666666666,-71.018625,12.6,333518.47796569904,4681346.421092485,19,T
1698454881295010545,21,1698454881293792486,GPS1_Frame,42.266529999999996,-71.01860666666667,12.6,333519.8935085556,4681342.313754838,19,T
1698454882298085398,22,1698454882295552492,GPS1_Frame,42.266495,-71.01861000000001,12.7,333519.52645743545,4681338.433847028,19,T
1698454883298916230,23,1698454883295740842,GPS1_Frame,42.266465000000004,-71.01863166666666,12.8,333517.6605044332,4681335.144987676,19,T
1698454884296787734,24,1698454884294861555,GPS1_Frame,42.26643333333333,-71.01867,12.9,333514.41555890953,4681331.703647796,19,T
1698454885299698487,25,1698454885297406435,GPS1_Frame,42.26640166666666,-71.01871666666666,13.1,333510.4833081148,4681328.278603182,19,T
1698454886299563947,26,1698454886296170949,GPS1_Frame,42.266375000000004,-71.01876666666666,13.3,333506.28929503576,4681325.415281949,19,T
1698454887300595392,27,1698454887297125101,GPS1_Frame,42.26635666666666,-71.01881833333333,13.4,333501.97975606425,4681323.48056135,19,T
1698454888296528129,28,1698454888295048475,GPS1_Frame,42.266349999999996,-71.01886833333333,13.6,333497.8383892984,4681322.838059301,19,T
1698454889298035832,29,1698454889295599460,GPS1_Frame,42.26635833333333,-71.01891333333333,13.7,333494.14889377746,4681323.851393092,19,T
1698454890295706697,30,1698454890294298410,GPS1_Frame,42.26637666666667,-71.018955,13.7,333490.7606477647,4681325.968617676,19,T
1698454891301246725,31,1698454891297508716,GPS1_Frame,42.26640166666666,-71.01899666666667,13.7,333487.38995581015,4681328.82611539,19,T
1698454892299455788,32,1698454892296993255,GPS1_Frame,42.266435,-71.01904333333333,13.6,333483.6288260544,4681332.618732013,19,T
1698454893296040359,33,1698454893294484376,GPS1_Frame,42.26647166666667,-71.01909333333333,13.6,333479.60155628773,4681336.788005272,19,T
1698454894313873038,34,1698454894311711311,GPS1_Frame,42.266510000000004,-71.019145,13.5,333475.4412195111,4681341.145608333,19,T
1698454895297852066,35,1698454895296032667,GPS1_Frame,42.26654833333334,-71.0192,13.4,333471.0059677358,4681345.509733144,19,T
1698454896300214728,36,1698454896296631813,GPS1_Frame,42.266589999999994,-71.019255,13.2,333466.5794987094,4681350.243996672,19,T
1698454897330156064,37,1698454897327267169,GPS1_Frame,42.26663166666667,-71.01930999999999,13.1,333462.1530357393,4681354.978263195,19,T
1698454898298277300,38,1698454898296628475,GPS1_Frame,42.26667333333333,-71.01936500000001,13.1,333457.7265788231,4681359.71253271,19,T
1698454899298256321,39,1698454899295589447,GPS1_Frame,42.266715000000005,-71.01942166666666,13.1,333453.1626682128,4681364.450065134,19,T
1698454900300049523,40,1698454900297368049,GPS1_Frame,42.266758333333335,-71.01947666666666,13.1,333448.7406125871,4681369.369408598,19,T
1698454901299934347,41,1698454901298247098,GPS1_Frame,42.266799999999996,-71.01953,13.0,333444.45163362334,4681374.100427085,19,T
1698454902301617467,42,1698454902299130439,GPS1_Frame,42.26683666666666,-71.01957833333333,13.0,333440.5618710236,4681378.266464231,19,T
1698454903348477082,43,1698454903346088171,GPS1_Frame,42.266870000000004,-71.01962,13.0,333437.21317193133,4681382.049326946,19,T
1698454904298890912,44,1698454904296218395,GPS1_Frame,42.2669,-71.01965833333334,12.9,333434.13061621133,4681385.45553501,19,T
1698454905298354622,45,1698454905296349763,GPS1_Frame,42.26692833333333,-71.01968833333333,12.9,333431.7309704102,4681388.660374862,19,T
