%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.UTM_Easting,field.UTM_Northing,field.Zone,field.Letter
1698280303679953361,4,1698280303677993059,GPS1_Frame,42.271945,-71.02845166666665,16.1,332722.2404402378,4681962.895354643,19,T
1698280304680189537,5,1698280304678497791,GPS1_Frame,42.27194333333333,-71.02845,16.1,332722.3734796341,4681962.707011958,19,T
1698280305680854777,6,1698280305678916454,GPS1_Frame,42.271935,-71.02844166666667,16.0,332723.03867673076,4681961.765298574,19,T
1698280306680675215,7,1698280306678785085,GPS1_Frame,42.27192,-71.028425,15.9,332724.37348047283,4681960.066940132,19,T
1698280307680547541,8,1698280307679059028,GPS1_Frame,42.27190166666666,-71.028405,15.8,332725.9743640487,4681957.991896742,19,T
1698280308682779576,9,1698280308680584669,GPS1_Frame,42.271883333333335,-71.02838666666666,15.6,332727.4378000153,4681955.92012821,19,T
1698280309682480384,10,1698280309680168628,GPS1_Frame,42.271865,-71.02836666666667,15.6,332729.03868549445,4681953.8450855855,19,T
1698280310681255977,11,1698280310679579973,GPS1_Frame,42.27184666666667,-71.028345,15.6,332730.7770206095,4681951.766768966,19,T
1698280311682071321,12,1698280311680508375,GPS1_Frame,42.27182500000001,-71.02832166666667,15.5,332732.64398795436,4681949.315042224,19,T
1698280312681516098,13,1698280312680059432,GPS1_Frame,42.27180166666667,-71.02829666666666,15.5,332734.64399669156,4681946.674973595,19,T
1698280313680554927,14,1698280313679184436,GPS1_Frame,42.27178166666666,-71.02827166666665,15.4,332736.65282427415,4681944.405041814,19,T
1698280314681057119,15,1698280314679480075,GPS1_Frame,42.271765,-71.028245,15.4,332738.80791920575,4681942.501972647,19,T
1698280315680805212,16,1698280315678816556,GPS1_Frame,42.27175333333333,-71.028215,15.5,332741.2511386309,4681941.147560148,19,T
1698280316680961451,17,1698280316679449319,GPS1_Frame,42.271748333333335,-71.02818,15.5,332744.1243394313,4681940.523598588,19,T
1698280317681766157,18,1698280317679847955,GPS1_Frame,42.27175166666666,-71.02814,15.6,332747.4319291421,4681940.81515658,19,T
1698280318680376617,19,1698280318678790807,GPS1_Frame,42.27176333333333,-71.0281,15.5,332750.7615598703,4681942.032056679,19,T
1698280319680267629,20,1698280319678422451,GPS1_Frame,42.27178166666666,-71.02806000000001,15.5,332754.10882213374,4681943.989230771,19,T
1698280320680987102,21,1698280320679151773,GPS1_Frame,42.27180499999999,-71.02801833333334,15.4,332757.60675555584,4681946.498336876,19,T
1698280321680579853,22,1698280321678637266,GPS1_Frame,42.27183166666667,-71.02797833333334,15.5,332760.97605379275,4681949.380854685,19,T
1698280322681178364,23,1698280322679367780,GPS1_Frame,42.27185666666666,-71.02794166666666,15.5,332764.0660440696,4681952.084853406,19,T
1698280323680261491,24,1698280323678347826,GPS1_Frame,42.27188666666666,-71.02791166666665,15.5,332766.6194612726,4681955.357152519,19,T
1698280324680741105,25,1698280324679187774,GPS1_Frame,42.27192,-71.027895,15.5,332768.08210380166,4681959.0257779835,19,T
1698280325679884340,26,1698280325678059339,GPS1_Frame,42.271955,-71.027895,15.4,332768.17466852046,4681962.9122083755,19,T
1698280326681581740,27,1698280326679485797,GPS1_Frame,42.27199,-71.02791166666665,15.3,332766.89274983795,4681966.831375598,19,T
1698280327679587885,28,1698280327677971363,GPS1_Frame,42.27202666666667,-71.02793833333334,15.2,332764.79055105755,4681970.955253612,19,T
1698280328680123841,29,1698280328678551435,GPS1_Frame,42.272059999999996,-71.02797333333334,15.2,332761.9922979077,4681974.725365055,19,T
