%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.UTM_Easting,field.UTM_Northing,field.Zone,field.Letter
1698708195241045529,1,1698708195239161491,GPS1_Frame,42.272125,-71.0283,13.9,332735.2243922299,4681982.584737341,19,T
1698708196240824590,2,1698708196239091634,GPS1_Frame,42.272125,-71.0283,13.9,332735.2243922299,4681982.584737341,19,T
1698708197240764507,3,1698708197239491939,GPS1_Frame,42.272125,-71.0283,13.9,332735.2243922299,4681982.584737341,19,T
1698708198242226127,4,1698708198240782737,GPS1_Frame,42.272125,-71.0283,13.9,332735.2243922299,4681982.584737341,19,T
1698708199242767727,5,1698708199241306543,GPS1_Frame,42.272125,-71.0283,13.9,332735.2243922299,4681982.584737341,19,T
1698708200242278058,6,1698708200239945888,GPS1_Frame,42.272125,-71.0283,13.9,332735.2243922299,4681982.584737341,19,T
1698708201242234611,7,1698708201240979671,GPS1_Frame,42.272125,-71.0283,13.9,332735.2243922299,4681982.584737341,19,T
1698708202241379374,8,1698708202239830732,GPS1_Frame,42.272125,-71.0283,13.9,332735.2243922299,4681982.584737341,19,T
1698708203241719712,9,1698708203239692449,GPS1_Frame,42.272125,-71.0283,13.9,332735.2243922299,4681982.584737341,19,T
1698708204238389639,10,1698708204238070487,GPS1_Frame,42.272125,-71.0283,13.9,332735.2243922299,4681982.584737341,19,T
1698708205243760003,11,1698708205241677761,GPS1_Frame,42.272125,-71.0283,13.9,332735.2243922299,4681982.584737341,19,T
1698708206241664476,12,1698708206240099906,GPS1_Frame,42.272125,-71.02830166666666,13.8,332735.0869441767,4681982.588011665,19,T
1698708207242698826,13,1698708207240527868,GPS1_Frame,42.272119999999994,-71.02831166666667,13.6,332734.24902953993,4681982.052453298,19,T
1698708208242574479,14,1698708208240654706,GPS1_Frame,42.272106666666666,-71.02833333333334,13.5,332732.426934165,4681980.614474984,19,T
1698708209240710645,15,1698708209239595174,GPS1_Frame,42.27208833333334,-71.02836333333333,13.4,332729.90437078965,4681978.637664844,19,T
1698708210241176357,16,1698708210240390539,GPS1_Frame,42.272063333333335,-71.02839333333333,13.3,332727.36417023523,4681975.920583085,19,T
1698708211243015523,17,1698708211240901470,GPS1_Frame,42.272035,-71.02842000000001,13.2,332725.09004625096,4681972.826816915,19,T
1698708212241185505,18,1698708212239469051,GPS1_Frame,42.27200333333334,-71.02843833333333,13.2,332723.4943438444,4681969.346542433,19,T
1698708213241659629,19,1698708213240245580,GPS1_Frame,42.27196833333334,-71.02844166666667,13.2,332723.1268574176,4681965.466660982,19,T
1698708214242222300,20,1698708214240751028,GPS1_Frame,42.271935,-71.02843,13.1,332724.0008160257,4681961.742376789,19,T
1698708215242408707,21,1698708215240139722,GPS1_Frame,42.27190333333333,-71.02840666666665,13.0,332725.8413244606,4681958.180239352,19,T
1698708216242253450,22,1698708216240239381,GPS1_Frame,42.27187333333333,-71.02837666666666,13.0,332728.23603819014,4681954.7900727885,19,T
1698708217243771756,23,1698708217241514205,GPS1_Frame,42.271845,-71.028345,12.9,332730.7726117944,4681951.5817008475,19,T
1698708218242417222,24,1698708218240411996,GPS1_Frame,42.27181666666667,-71.028315,12.9,332733.1717390533,4681948.376604249,19,T
1698708219241497888,25,1698708219239514827,GPS1_Frame,42.271791666666665,-71.02828666666666,12.8,332735.4422371448,4681945.544919069,19,T
1698708220273429253,26,1698708220271949529,GPS1_Frame,42.27177,-71.02825833333333,12.7,332737.72155435337,4681943.0833709175,19,T
1698708221241538175,27,1698708221239566564,GPS1_Frame,42.271750000000004,-71.02822833333333,12.7,332740.142730614,4681940.803617464,19,T
1698708222242689484,28,1698708222240966081,GPS1_Frame,42.27173833333333,-71.02819166666667,12.7,332743.13574647193,4681939.436108861,19,T
1698708223303193843,29,1698708223302117824,GPS1_Frame,42.27174,-71.02815166666666,12.6,332746.43892837083,4681939.542598292,19,T
1698708224242036028,30,1698708224240047216,GPS1_Frame,42.271750000000004,-71.02811333333334,12.6,332749.6267027103,4681940.577703845,19,T
1698708225242731809,31,1698708225240793228,GPS1_Frame,42.271765,-71.02807833333333,12.6,332752.55280303466,4681942.174563069,19,T
1698708226241904731,32,1698708226240228414,GPS1_Frame,42.27178333333333,-71.028045,12.6,332755.3502695015,4681944.144833604,19,T
1698708227241680915,33,1698708227239616394,GPS1_Frame,42.27180166666667,-71.02801500000001,12.6,332757.8728368697,4681946.121652931,19,T
1698708228273666698,34,1698708228271382808,GPS1_Frame,42.27182,-71.02798333333334,12.4,332760.53285153303,4681948.095199316,19,T
1698708229242712474,35,1698708229240777969,GPS1_Frame,42.271838333333335,-71.02795333333333,12.3,332763.0554160167,4681950.072020429,19,T
1698708230241401353,36,1698708230239356756,GPS1_Frame,42.27186166666667,-71.02791833333335,12.2,332766.0035486468,4681952.594225629,19,T
1698708231241086567,37,1698708231239643812,GPS1_Frame,42.27189166666667,-71.02788833333334,12.2,332768.55696474656,4681955.866525418,19,T
1698708232241045606,38,1698708232239150047,GPS1_Frame,42.271924999999996,-71.027875,12.1,332769.74470918626,4681959.541698517,19,T
1698708233241766705,39,1698708233239618539,GPS1_Frame,42.27196000000001,-71.02788000000001,12.0,332769.4249277636,4681963.437949825,19,T
1698708234242045826,40,1698708234239763975,GPS1_Frame,42.27199166666666,-71.02790166666666,11.9,332767.7218477797,4681966.996801594,19,T
1698708235242072484,41,1698708235240367650,GPS1_Frame,42.272025,-71.02793166666667,11.8,332765.33593619574,4681970.757090566,19,T
1698708236241851592,42,1698708236240036010,GPS1_Frame,42.272059999999996,-71.02796333333335,11.8,332762.81698707596,4681974.705722335,19,T
1698708237241155569,43,1698708237239584684,GPS1_Frame,42.27209166666667,-71.02799333333334,11.6,332760.42667289014,4681978.280945046,19,T
1698708238241121043,44,1698708238239724397,GPS1_Frame,42.272119999999994,-71.02802166666667,11.6,332758.16499301593,4681981.482758543,19,T
1698708239240761264,45,1698708239239638805,GPS1_Frame,42.272145,-71.028045,11.6,332756.3068429084,4681984.304614853,19,T
1698708240241519640,46,1698708240239364147,GPS1_Frame,42.272166666666664,-71.028065,11.7,332754.71477379964,4681986.74978757,19,T
1698708241242740918,47,1698708241241104841,GPS1_Frame,42.27218333333334,-71.02808,11.7,332753.5218247913,4681988.629934402,19,T
1698708242241727381,48,1698708242240068435,GPS1_Frame,42.272194999999996,-71.02809166666665,11.8,332752.5905473524,4681989.94832911,19,T
1698708243241247545,49,1698708243239505767,GPS1_Frame,42.272205,-71.02810333333333,11.8,332751.654861951,4681991.081655831,19,T
1698708244241135428,50,1698708244239719867,GPS1_Frame,42.272211666666664,-71.02812166666666,11.9,332750.16056870786,4681991.85794256,19,T
1698708245273361669,51,1698708245271988630,GPS1_Frame,42.27221333333333,-71.02814666666667,11.9,332748.1032591271,4681992.092121529,19,T
1698708246241050524,52,1698708246239770174,GPS1_Frame,42.272205,-71.02817833333333,11.9,332745.46970731753,4681991.228988846,19,T
1698708247241292215,53,1698708247240095853,GPS1_Frame,42.27218833333333,-71.028205,11.8,332743.2264558137,4681989.430693983,19,T
1698708248241791060,54,1698708248239663600,GPS1_Frame,42.272166666666664,-71.02823,11.8,332741.10742533836,4681987.073921226,19,T
1698708249242582294,55,1698708249240626573,GPS1_Frame,42.27214333333333,-71.02826,11.7,332738.57164077566,4681984.5419037165,19,T
1698708250243029049,56,1698708250240571737,GPS1_Frame,42.27212166666666,-71.02829333333334,11.7,332735.7653670027,4681982.201503821,19,T
1698708251242588729,57,1698708251240177392,GPS1_Frame,42.27210166666667,-71.02833166666666,11.6,332732.55115583853,4681980.055996237,19,T
1698708252242734808,58,1698708252240818977,GPS1_Frame,42.27208,-71.02837,11.6,332729.33253379643,4681977.725421949,19,T
1698708253303902508,59,1698708253302405834,GPS1_Frame,42.272055,-71.02840666666665,11.6,332726.2425398697,4681975.021438342,19,T
1698708254243391759,60,1698708254240864038,GPS1_Frame,42.27202833333334,-71.02843666666666,11.5,332723.69792760175,4681972.119289721,19,T
1698708255242819243,61,1698708255240573167,GPS1_Frame,42.27199666666667,-71.02845166666665,11.6,332722.3771210276,4681968.632466396,19,T
1698708256242211244,62,1698708256240089416,GPS1_Frame,42.27196166666666,-71.02845166666665,11.7,332722.2845308002,4681964.746035849,19,T
1698708257240981375,63,1698708257239571809,GPS1_Frame,42.271930000000005,-71.02843333333334,11.6,332723.71269204037,4681961.193721498,19,T
1698708258242254471,64,1698708258239864826,GPS1_Frame,42.2719,-71.02840666666665,11.5,332725.8325065528,4681957.810103116,19,T
1698708259241952795,65,1698708259240539073,GPS1_Frame,42.27187166666666,-71.02837833333334,11.5,332728.0941806948,4681954.608279118,19,T
1698708260242180544,66,1698708260240630626,GPS1_Frame,42.271845,-71.02835,11.5,332730.36026579764,4681951.591524038,19,T
1698708261241699493,67,1698708261240513563,GPS1_Frame,42.27182,-71.02832166666667,11.4,332732.6307616676,4681948.759837877,19,T
1698708262241273861,68,1698708262239660739,GPS1_Frame,42.271795000000004,-71.02829333333334,11.4,332734.90125941497,4681945.928152512,19,T
1698708263242161470,69,1698708263240612506,GPS1_Frame,42.27177166666667,-71.02826833333333,11.4,332736.9012700267,4681943.288084591,19,T
1698708264242237394,70,1698708264240579843,GPS1_Frame,42.271755,-71.028245,11.4,332738.7814676651,4681941.391563971,19,T
1698708265243388582,71,1698708265241780042,GPS1_Frame,42.27174333333334,-71.02821999999999,11.4,332740.8123408307,4681940.046974034,19,T
1698708266241937623,72,1698708266240501642,GPS1_Frame,42.27173666666666,-71.02819166666667,11.3,332743.1313379997,4681939.25104075,19,T
1698708267242861844,73,1698708267240680932,GPS1_Frame,42.27173833333333,-71.02816166666666,11.3,332745.6098266089,4681939.377174706,19,T
1698708268241449599,74,1698708268240267276,GPS1_Frame,42.271744999999996,-71.02813666666665,11.3,332747.68919346307,4681940.068336019,19,T
1698708269242389208,75,1698708269240890979,GPS1_Frame,42.27175333333333,-71.02811666666666,11.3,332749.3606215912,4681940.954388107,19,T
