%time,field.Header.seq,field.Header.stamp,field.Header.frame_id,field.IMU.header.seq,field.IMU.header.stamp,field.IMU.header.frame_id,field.IMU.orientation.x,field.IMU.orientation.y,field.IMU.orientation.z,field.IMU.orientation.w,field.IMU.orientation_covariance0,field.IMU.orientation_covariance1,field.IMU.orientation_covariance2,field.IMU.orientation_covariance3,field.IMU.orientation_covariance4,field.IMU.orientation_covariance5,field.IMU.orientation_covariance6,field.IMU.orientation_covariance7,field.IMU.orientation_covariance8,field.IMU.angular_velocity.x,field.IMU.angular_velocity.y,field.IMU.angular_velocity.z,field.IMU.angular_velocity_covariance0,field.IMU.angular_velocity_covariance1,field.IMU.angular_velocity_covariance2,field.IMU.angular_velocity_covariance3,field.IMU.angular_velocity_covariance4,field.IMU.angular_velocity_covariance5,field.IMU.angular_velocity_covariance6,field.IMU.angular_velocity_covariance7,field.IMU.angular_velocity_covariance8,field.IMU.linear_acceleration.x,field.IMU.linear_acceleration.y,field.IMU.linear_acceleration.z,field.IMU.linear_acceleration_covariance0,field.IMU.linear_acceleration_covariance1,field.IMU.linear_acceleration_covariance2,field.IMU.linear_acceleration_covariance3,field.IMU.linear_acceleration_covariance4,field.IMU.linear_acceleration_covariance5,field.IMU.linear_acceleration_covariance6,field.IMU.linear_acceleration_covariance7,field.IMU.linear_acceleration_covariance8,field.MagField.header.seq,field.MagField.header.stamp,field.MagField.header.frame_id,field.MagField.magnetic_field.x,field.MagField.magnetic_field.y,field.MagField.magnetic_field.z,field.MagField.magnetic_field_covariance0,field.MagField.magnetic_field_covariance1,field.MagField.magnetic_field_covariance2,field.MagField.magnetic_field_covariance3,field.MagField.magnetic_field_covariance4,field.MagField.magnetic_field_covariance5,field.MagField.magnetic_field_covariance6,field.MagField.magnetic_field_covariance7,field.MagField.magnetic_field_covariance8,field.VNYMR
1698454860640777394,0,1698454860636621475,IMU1_Frame,701,1698454860636621475,,-0.41741507405730116,-0.23924597788650326,0.8678593197307606,0.12387985781122815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001408,-0.00148,0.03116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.665,0.211,-10.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701,1698454860636621475,,0.017,0.1731,0.1097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1698454860663668396,0,1698454860661465406,IMU1_Frame,702,1698454860661465406,,-0.4127007960234722,-0.24821863581213396,0.8703687608018659,0.10258548638759785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003513,-0.000142,0.03658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.658,0.116,-10.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,702,1698454860661465406,,0.0242,0.1805,0.1043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1698454860689674279,0,1698454860686518669,IMU1_Frame,703,1698454860686518669,,-0.4078689041250532,-0.25842250641428555,0.8722249000336881,0.07800313447297808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002661,0.000304,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.686,0.178,-9.896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703,1698454860686518669,,0.0195,0.1655,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1698454860713960123,0,1698454860711856126,IMU1_Frame,704,1698454860711856126,,-0.40180631781096166,-0.2686272795110078,0.8737969134757076,0.053572583193627454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005951,0.005513,0.04068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.705,0.105,-10.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704,1698454860711856126,,0.0168,0.1693,0.1132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1698454860738163157,0,1698454860736617565,IMU1_Frame,705,1698454860736617565,,-0.3950903027203355,-0.2806079186680451,0.8743525067428379,0.02589483789594485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005501,0.003256,0.04327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678,0.153,-9.978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705,1698454860736617565,,0.0198,0.175,0.1119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1698454860764497423,0,1698454860761746644,IMU1_Frame,706,1698454860761746644,,-0.38840801116642126,-0.2923047548470721,0.8738915164561365,-0.0032809482672543078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005502,0.002519,0.04671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.644,0.11,-9.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706,1698454860761746644,,0.0225,0.1691,0.1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1698454860789824783,0,1698454860786858797,IMU1_Frame,707,1698454860786858797,,-0.38145442480336184,-0.30457248917894003,0.8720696573498848,-0.0349661745539246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005674,0.005722,0.0487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.779,0.2,-9.862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707,1698454860786858797,,0.0169,0.1712,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1698454860815298958,0,1698454860811811685,IMU1_Frame,708,1698454860811811685,,-0.3724539204778563,-0.31826370349367245,0.8691775662010465,-0.06720603077099487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00661,0.00326,0.04919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.778,0.148,-9.944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708,1698454860811811685,,0.0185,0.1769,0.1126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1698454860840615598,0,1698454860836677074,IMU1_Frame,709,1698454860836677074,,-0.36393019922701725,-0.331377507177075,0.8645101758631863,-0.10181313106222417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006735,0.008921,0.05411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.804,0.215,-9.979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,709,1698454860836677074,,0.0184,0.1692,0.1033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1698454860862880132,0,1698454860861373662,IMU1_Frame,710,1698454860861373662,,-0.35359721524084625,-0.3456585720163319,0.8583208004855382,-0.1370203065950955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007789,5.4e-05,0.05388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.236,-10.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710,1698454860861373662,,0.0182,0.1673,0.1079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1698454860888814611,0,1698454860886405229,IMU1_Frame,711,1698454860886405229,,-0.3438728089915446,-0.35991301080120763,0.8497003977561606,-0.1738486409072473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008587,0.004373,0.05778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.874,0.224,-9.878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711,1698454860886405229,,0.0198,0.1711,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
